740c|je 0x3f8013fb6
488d153c281e00|lea 0x1e283c(%rip),%rdx 
8b15a4331400|mov 0x1433a4(%rip),%edx 
488b0508c50200|mov 0x2c508(%rip),%rax 
488d0ddb380000|lea 0x38db(%rip),%rcx 
4c8d0d246a0100|lea 0x16a24(%rip),%r9 
e944ffffff|jmpq 0x3e6aa9eee
488b0de2970700|mov 0x797e2(%rip),%rcx 
e89b640300|callq 0x3e6cf5df0
c70593f59e0000|movl $0x0,0x9ef593(%rip) 
418b85b0010000|mov 0x1b0(%r13),%eax
41b9360f0000|mov $0xf36,%r9d
4c8d05d2b71f00|lea 0x1fb7d2(%rip),%r8 
440fb70d79901c|movzwl 0x1c9079(%rip),%r9d 
83e90f|sub $0xf,%ecx
e89458fcff|callq 0x3f3d7e6f0
0f84ef000000|je 0x3f8e972e7
e80ec7ffff|callq 0x3fd0e8460
41f6853b010000|testb $0x1,0x13b(%r13)
488b15a9c10200|mov 0x2c1a9(%rip),%rdx 
488b0539690100|mov 0x16939(%rip),%rax 
89abf4030000|mov %ebp,0x3f4(%rbx)
e890140000|callq 0x3f92a9680
48ba0008000000|movabs $0x400000000000800,%rdx
4c8d05125b0c00|lea 0xc5b12(%rip),%r8 
488d05cdc80d00|lea 0xdc8cd(%rip),%rax 
ff151d9f2500|callq *0x259f1d(%rip) 
0f845dffffff|je 0x10041884e
48ff25dea20600|rex.W jmpq *0x6a2de(%rip) 
488d052a3e0200|lea 0x23e2a(%rip),%rax 
7507|jne 0x3f7066c83
4c893563480400|mov %r14,0x44863(%rip) 
e8f73f2000|callq 0x100692430
488d2d54230200|lea 0x22354(%rip),%rbp 
488b2d60920200|mov 0x29260(%rip),%rbp 
488b0512725400|mov 0x547212(%rip),%rax 
488d05992f3101|lea 0x1312f99(%rip),%rax 
488d0d85410100|lea 0x14185(%rip),%rcx 
4c8b8140020000|mov 0x240(%rcx),%r8
488d0dc5b20000|lea 0xb2c5(%rip),%rcx 
4a8d441652|lea 0x52(%rsi,%r10,1),%rax
488d15ded02f00|lea 0x2fd0de(%rip),%rdx 
488d0d671f0100|lea 0x11f67(%rip),%rcx 
488d054773ad00|lea 0xad7347(%rip),%rax 
488d0dfa510200|lea 0x251fa(%rip),%rcx 
48c744fb280000|movq $0x0,0x28(%rbx,%rdi,8)
488d0d2df60a00|lea 0xaf62d(%rip),%rcx 
4c8d051eec4300|lea 0x43ec1e(%rip),%r8 
488b0d6c065c00|mov 0x5c066c(%rip),%rcx 
488d1503440100|lea 0x14403(%rip),%rdx 
488b1d5d440900|mov 0x9445d(%rip),%rbx 
488d0559360800|lea 0x83659(%rip),%rax 
8844244d|mov %al,0x4d(%rsp)
4869d080969800|imul $0x989680,%rax,%rdx
488d15603e4601|lea 0x1463e60(%rip),%rdx 
e8bd5e0300|callq 0x3f3c7dfd0
488d1dcd0b9c00|lea 0x9c0bcd(%rip),%rbx 
48c74090000000|movq $0x0,-0x70(%rax)
488d05244d0700|lea 0x74d24(%rip),%rax 
418d55f2|lea -0xe(%r13),%edx
db2dc5470100|fldt 0x147c5(%rip) 
488d0db1340600|lea 0x634b1(%rip),%rcx 
488d05733cffff|lea -0xc38d(%rip),%rax 
e86f520000|callq 0x3f77ad620
450f48cb|cmovs %r11d,%r9d
488d1505211000|lea 0x102105(%rip),%rdx 
7721|ja 0x3f53b7180
48ff25d13c0b00|rex.W jmpq *0xb3cd1(%rip) 
f6473010|testb $0x10,0x30(%rdi)
488d05bf270100|lea 0x127bf(%rip),%rax 
4c8b05dd830400|mov 0x483dd(%rip),%r8 
488d0d03b80000|lea 0xb803(%rip),%rcx 
f20f5c84249800|subsd 0x98(%rsp),%xmm0
0f857ffeffff|jne 0x3ff272e10
488d15a4c52700|lea 0x27c5a4(%rip),%rdx 
4c8b0d593d3200|mov 0x323d59(%rip),%r9 
48890598bf8d00|mov %rax,0x8dbf98(%rip) 
488d05a6bdac00|lea 0xacbda6(%rip),%rax 
488d15ea070a00|lea 0xa07ea(%rip),%rdx 
488b3dce860d00|mov 0xd86ce(%rip),%rdi 
e8263e1d00|callq 0x1006c02f0
e912fdffff|jmpq 0x3f583990d
c7828c01000000|movl $0x0,0x18c(%rdx)
4c8980f0000000|mov %r8,0xf0(%rax)
e8c5430001|callq 0x3fced58d0
74df|je 0x3fe2a2500
e93cffffff|jmpq 0x3f3634538
e962ffffff|jmpq 0x10040a81f
4c8d051b802b00|lea 0x2b801b(%rip),%r8 
c7842420010000|movl $0x22,0x120(%rsp)
8905f5bf0000|mov %eax,0xbff5(%rip) 
7516|jne 0x3f6b4a3bf
488d1562be2600|lea 0x26be62(%rip),%rdx 
81882401000000|orl $0x80000000,0x124(%rax)
c7842498010000|movl $0xb8f,0x198(%rsp)
760a|jbe 0x100444e85
488d150fac0100|lea 0x1ac0f(%rip),%rdx 
7426|je 0x3fb861ac1
4c8b3590df4f00|mov 0x4fdf90(%rip),%r14 
e850daffff|callq 0x1004eedc0
4c031cc1|add (%rcx,%rax,8),%r11
81faa3000000|cmp $0xa3,%edx
488d0d09f0ffff|lea -0xff7(%rip),%rcx 
6689506a|mov %dx,0x6a(%rax)
488d0d80870300|lea 0x38780(%rip),%rcx 
7520|jne 0x3f3e0f711
488d0d58820d00|lea 0xd8258(%rip),%rcx 
488b05791a4100|mov 0x411a79(%rip),%rax 
488d1598080200|lea 0x20898(%rip),%rdx 
488b051fb50000|mov 0xb51f(%rip),%rax 
4c8d0d465d2a00|lea 0x2a5d46(%rip),%r9 
41c74140010000|movl $0x1,0x40(%r9)
488d0dcedc1400|lea 0x14dcce(%rip),%rcx 
488b1d64191c00|mov 0x1c1964(%rip),%rbx 
488d0d93640500|lea 0x56493(%rip),%rcx 
488b35583c0400|mov 0x43c58(%rip),%rsi 
4c8d0523c60c00|lea 0xcc623(%rip),%r8 
e943fdffff|jmpq 0x3f77b8980
8b9654020000|mov 0x254(%rsi),%edx
488d1576330a00|lea 0xa3376(%rip),%rdx 
e8adabffff|callq 0x3f50cf990
c7002d010000|movl $0x12d,(%rax)
e8dfe0f6ff|callq 0x3f77bdb10
4c8d3d5e940400|lea 0x4945e(%rip),%r15 
4c8d0d092e2100|lea 0x212e09(%rip),%r9 
c605ba0e000001|movb $0x1,0xeba(%rip) 
488d15d3ef0300|lea 0x3efd3(%rip),%rdx 
488d1588cc2900|lea 0x29cc88(%rip),%rdx 
488d0dca090900|lea 0x909ca(%rip),%rcx 
d8257efb0000|fsubs 0xfb7e(%rip) 
f20f101d054a28|movsd 0x284a05(%rip),%xmm3 
4c8d3d34330300|lea 0x33334(%rip),%r15 
488d0d7f1f0a00|lea 0xa1f7f(%rip),%rcx 
83e10d|and $0xd,%ecx
488b0505451500|mov 0x154505(%rip),%rax 
488b1dc1392200|mov 0x2239c1(%rip),%rbx 
db2d77ae0f00|fldt 0xfae77(%rip) 
b83e020000|mov $0x23e,%eax
0f8e09010000|jle 0x1004302d1
488d158a9e0e00|lea 0xe9e8a(%rip),%rdx 
0f84f1020000|je 0x3f3613e85
816604effeffff|andl $0xfffffeef,0x4(%rsi)
480fbefb|movsbq %bl,%rdi
483b0d16e70400|cmp 0x4e716(%rip),%rcx 
488d9000800000|lea 0x8000(%rax),%rdx
4c8d252f820b00|lea 0xb822f(%rip),%r12 
488d0dbde29b00|lea 0x9be2bd(%rip),%rcx 
4d8d4c2901|lea 0x1(%r9,%rbp,1),%r9
db2d6b550300|fldt 0x3556b(%rip) 
e899aafeff|callq 0x100719710
db2da2080200|fldt 0x208a2(%rip) 
488b0db6070500|mov 0x507b6(%rip),%rcx 
488d154bc20e00|lea 0xec24b(%rip),%rdx 
488b3563090c00|mov 0xc0963(%rip),%rsi 
488d0d42e80100|lea 0x1e842(%rip),%rcx 
48c70573fd1400|movq $0x0,0x14fd73(%rip) 
488d152ea90200|lea 0x2a92e(%rip),%rdx 
48833dca750b00|cmpq $0x0,0xb75ca(%rip) 
488b05dec10800|mov 0x8c1de(%rip),%rax 
8b440110|mov 0x10(%rcx,%rax,1),%eax
ebdd|jmp 0x3e831e27f
488d0d56220100|lea 0x12256(%rip),%rcx 
4c8d0583d80900|lea 0x9d883(%rip),%r8 
488d0da4ef0500|lea 0x5efa4(%rip),%rcx 
4c8d80c0500700|lea 0x750c0(%rax),%r8
e8948dfeff|callq 0x3e63f3f90
488b0de6b54800|mov 0x48b5e6(%rip),%rcx 
488d1597298600|lea 0x862997(%rip),%rdx 
488b05d6f90b00|mov 0xbf9d6(%rip),%rax 
488b051c930900|mov 0x9931c(%rip),%rax 
488b05e5ba0800|mov 0x8bae5(%rip),%rax 
e865f1ffff|callq 0x3f9cafdf0
